"Mineral Name","Mineral Name (plain)","Mineral Name (HTML)","RRUFF Chemistry (plain)","IMA Chemistry (plain)","RRUFF Chemistry (concise)","IMA Chemistry (concise)","RRUFF Chemistry (HTML)","IMA Chemistry (HTML)","Chemistry Elements","IMA Number","RRUFF IDs","Database ID","Country of Type Locality","Year First Published","IMA Status","Structural Groupname","Fleischers Groupname","Status Notes","Crystal Systems","Oldest Known Age (Ma)","Valence Elements"
"Brenkite","Brenkite","Brenkite","Ca2(CO3)F2","Ca2(CO3)F2","Ca_2_(CO_3_)F_2_","Ca_2_(CO_3_)F_2_","Ca<sub>2</sub>(CO<sub>3</sub>)F<sub>2</sub>","Ca<sub>2</sub>(CO<sub>3</sub>)F<sub>2</sub>","Ca C O F","IMA1977-036","R060247","1214","Germany","1977","Approved"," "," ","Hentschel G, Leufer U, Tillmans E (1978) Brenkite, a new calcium fluor-carbonate from Schellkopf, Eifel, Neues Jahrbuch für Mineralogie, Monatshefte 1978, 325-329","orthorhombic","1774","Ca C O F"
"Brewsterite-Ba","Brewsterite-Ba","Brewsterite-Ba","Ba(Al2Si6)O16·5H2O","Ba(Al2Si6)O16·5H2O","Ba(Al_2_Si_6_)O_16_·5H_2_O","Ba(Al_2_Si_6_)O_16_·5H_2_O","Ba(Al<sub>2</sub>Si<sub>6</sub>)O<sub>16</sub>·5H<sub>2</sub>O","Ba(Al<sub>2</sub>Si<sub>6</sub>)O<sub>16</sub>·5H<sub>2</sub>O","Ba Al Si O H","","R070120","1215","USA / Italy","1993","Approved"," ","zeolite-brewsterite series","Robinson G W, Grice J D (1993) The barium analog of brewsterite from Harrisville, New York, The Canadian Mineralogist 31, 687-690

Name defined:
Coombs D S, Alberti A, Armbruster T, Artioli G, Colella C, Galli E, Grice J D, Liebau F, Mandarino J A, Minato H, Nickel E H, Passaglia E, Peacor D R, Quartieri S, Rinaldi R, Ross M, Sheppard R A, Tillmanns E, Vezzalini G, (1997) Recommended nomenclature for zeolite minerals: report of the subcommittee on zeolites of the international mineralogical association, commission on new minerals and mineral names, The Canadian Mineralogist 35, 1571-1606","monoclinic|triclinic","201","Ba Al Si O H"
"Brewsterite-Sr","Brewsterite-Sr","Brewsterite-Sr","Sr(Al2Si6)O16·5H2O","Sr(Al2Si6)O16·5H2O","Sr(Al_2_Si_6_)O_16_·5H_2_O","Sr(Al_2_Si_6_)O_16_·5H_2_O","Sr(Al<sub>2</sub>Si<sub>6</sub>)O<sub>16</sub>·5H<sub>2</sub>O","Sr(Al<sub>2</sub>Si<sub>6</sub>)O<sub>16</sub>·5H<sub>2</sub>O","Sr Al Si O H","IMA1997 s.p.","R070227","1216","United Kingdom","1822","Approved|Renamed"," ","zeolite-brewsterite series","Brooke H J (1822) On the comptonite of Vesuvius, the brewsterite of Scotland, the stilbite and the heulandite, Edinburgh Philosophy Journal 6, 112-115

Name changed from brewsterite:
Coombs D S, Alberti A, Armbruster T, Artioli G, Colella C, Galli E, Grice J D, Liebau F, Mandarino J A, Minato H, Nickel E H, Passaglia E, Peacor D R, Quartieri S, Rinaldi R, Ross M, Sheppard R A, Tillmanns E, Vezzalini G, (1997) Recommended nomenclature for zeolite minerals: report of the subcommittee on zeolites of the international mineralogical association, commission on new minerals and mineral names, The Canadian Mineralogist 35, 1571-1606","monoclinic|triclinic","","Sr Al Si O H"
"Brezinaite","Brezinaite","Brezinaite","Cr2+Cr3+2S2-4","Cr3S4","Cr^2+^Cr^3+^_2_S^2-^_4_","Cr_3_S_4_","Cr<sup>2+</sup>Cr<sup>3+</sup><sub>2</sub>S<sup>2-</sup><sub>4</sub>","Cr<sub>3</sub>S<sub>4</sub>","Cr S","IMA1969-004","R070042","1217","USA","1969","Approved"," ","wilkmanite","Bunch T E, Fuchs L H (1969) A new mineral: brezinaite, Cr<sub>3</sub>S<sub>4</sub>, and the Tucson meteorite, American Mineralogist 54, 1509-1518","monoclinic","","Cr^2+ Cr^3+ S^2-"
"Brianite","Brianite","Brianite","Na2CaMg(PO4)2","Na2CaMg(PO4)2","Na_2_CaMg(PO_4_)_2_","Na_2_CaMg(PO_4_)_2_","Na<sub>2</sub>CaMg(PO<sub>4</sub>)<sub>2</sub>","Na<sub>2</sub>CaMg(PO<sub>4</sub>)<sub>2</sub>","Na Ca Mg P O","IMA1966-030","","1218","USA","1966","Approved","Aphthitalite"," ","Fuchs L H, Olsen E, Henderson E P (1967) On the occurrence of brianite and panethite, two new phosphate minerals from the Dayton meteorite, Geochimica et Cosmochimica Acta 31, 1711-1719","monoclinic|orthorhombic","","Na Ca Mg P O"
"Briartite","Briartite","Briartite","Cu1+2Fe2+Ge4+S2-4","Cu2FeGeS4","Cu^1+^_2_Fe^2+^Ge^4+^S^2-^_4_","Cu_2_FeGeS_4_","Cu<sup>1+</sup><sub>2</sub>Fe<sup>2+</sup>Ge<sup>4+</sup>S<sup>2-</sup><sub>4</sub>","Cu<sub>2</sub>FeGeS<sub>4</sub>","Cu Fe Ge S","IMA1965-018","","1221","Democratic Republic of the Congo","1965","Approved","Stannite","stannite","Francotte J, Moreau J, Ottenburgs R (1965) La briartite, Cu<sub>2</sub>(Fe,Zn)GeS<sub>4</sub>, une nouvelle espèce minérale, Bulletin de la Société Française de Minéralogie et de Cristallographie 88, 432-437","tetragonal","765","Cu^1+ Fe^2+ Ge^4+ S^2-"
"Bridgmanite","Bridgmanite","Bridgmanite","MgSiO3","MgSiO3","MgSiO_3_","MgSiO_3_","MgSiO<sub>3</sub>","MgSiO<sub>3</sub>","Mg Si O","IMA2014-017","","6334","Australia (meteorite)","2014","Approved","Perovskite"," ","Tschauner O, Ma C, Beckett J R, Prescher C, Prakapenka V B, Rossman G R (2014) Discovery of bridgmanite, the most abundant mineral in Earth, in a shocked meteorite. Science 346, 1100-1102","orthorhombic","","Mg Si O"
"Brindleyite","Brindleyite","Brindleyite","(Ni2+,Al)3(Si,Al)2O5(OH)4","(Ni,Al)3(Si,Al)2O5(OH)4","(Ni^2+^,Al)_3_(Si,Al)_2_O_5_(OH)_4_","(Ni,Al)_3_(Si,Al)_2_O_5_(OH)_4_","(Ni<sup>2+</sup>,Al)<sub>3</sub>(Si,Al)<sub>2</sub>O<sub>5</sub>(OH)<sub>4</sub>","(Ni,Al)<sub>3</sub>(Si,Al)<sub>2</sub>O<sub>5</sub>(OH)<sub>4</sub>","Ni Al Si O H","IMA1975-009a","","1222","Greece","1975","Approved","Clay","kaolinite-serpentine-serpentine subgroup","Maksimovic Z, Bish D L (1978) Brindleyite, a nickel-rich aluminous serpentine mineral analogous to berthierine, American Mineralogist 63, 484-489","tetragonal|monoclinic","","Ni^2+ Al Si O H"
"Britholite-(Ce)","Britholite-(Ce)","Britholite-(Ce)","(Ce,Ca)5(SiO4)3OH","(Ce,Ca)5(SiO4)3(OH)","(Ce,Ca)_5_(SiO_4_)_3_OH","(Ce,Ca)_5_(SiO_4_)_3_(OH)","(Ce,Ca)<sub>5</sub>(SiO<sub>4</sub>)<sub>3</sub>OH","(Ce,Ca)<sub>5</sub>(SiO<sub>4</sub>)<sub>3</sub>(OH)","Ce Ca Si O H","IMA1987 s.p.","R130281","1224","Denmark (Greenland)","1901","Approved|Renamed","Apatite","tritomite","Winther C (1901) Britholite, a new mineral, Meddelelser om Grønland 24, 190-196

Name changed from britholite:
Nickel E H, Mandarino J A (1987) Procedures involving the IMA Commission on New Minerals and Mineral Names and guidelines on mineral nomenclature, American Mineralogist 72, 1031-1042

Chemical formula revised:
Pasero M, Kampf A R, Ferraris C, Pekov I V, Rakovan J R, White T J (2010) Nomenclature of the apatite supergroup minerals, European Journal of Mineralogy 22, 163-179","monoclinic|hexagonal","2680","Ce Ca Si O H"
"Britholite-(Y)","Britholite-(Y)","Britholite-(Y)","(Y,Ca)5(SiO4)3OH","(Y,Ca)5(SiO4)3(OH)","(Y,Ca)_5_(SiO_4_)_3_OH","(Y,Ca)_5_(SiO_4_)_3_(OH)","(Y,Ca)<sub>5</sub>(SiO<sub>4</sub>)<sub>3</sub>OH","(Y,Ca)<sub>5</sub>(SiO<sub>4</sub>)<sub>3</sub>(OH)","Y Ca Si O H","IMA1966 s.p.","","1225","Japan","1938","Approved|Renamed","Apatite","tritomite","Hata S (1938) Abukumalite, a new yttrium mineral, Scientific Papers of the Institute of Physical and Chemical Research 34, 1018-1023

Name changed from abukumalite:
Nickel E H, Mandarino J A (1987) Procedures involving the IMA Commission on New Minerals and Mineral Names and guidelines on mineral nomenclature, American Mineralogist 72, 1031-1042

Chemical formula revised:
Pasero M, Kampf A R, Ferraris C, Pekov I V, Rakovan J R, White T J (2010) Nomenclature of the apatite supergroup minerals, European Journal of Mineralogy 22, 163-179","monoclinic","1809.9","Y Ca Si O H"
"Brockite","Brockite","Brockite","(Ca,Th,Ce)PO4·H2O","(Ca,Th,Ce)(PO4)·H2O","(Ca,Th,Ce)PO_4_·H_2_O","(Ca,Th,Ce)(PO_4_)·H_2_O","(Ca,Th,Ce)PO<sub>4</sub>·H<sub>2</sub>O","(Ca,Th,Ce)(PO<sub>4</sub>)·H<sub>2</sub>O","Ca Th Ce P O H","","","1229","USA","1962","Approved","Rhabdophane","rhabdophane","Fisher F G, Meyrowitz R (1962) Brockite, a new calcium thorium phosphate from the Wet Mountains, Colorado, American Mineralogist 47, 1346-1355","hexagonal","1799","Ca Th Ce P O H"
"Bromellite","Bromellite","Bromellite","BeO","BeO","BeO","BeO","BeO","BeO","Be O","","","1232","Sweden","1925","Grandfathered|Approved"," "," ","Aminoff G (1925) Über berylliumoxyd als mineral und dessen kristallstruktur, Zeitschrift für Kristallographie 62, 113-122","hexagonal","1825","Be O"
"Brontesite","Brontesite","Brontesite","(N3-H4)3Pb2+Cl5","(NH4)3PbCl5","(N^3-^H_4_)_3_Pb^2+^Cl_5_","(NH_4_)_3_PbCl_5_","(N<sup>3-</sup>H<sub>4</sub>)<sub>3</sub>Pb<sup>2+</sup>Cl<sub>5</sub>","(NH<sub>4</sub>)<sub>3</sub>PbCl<sub>5</sub>","N H Pb Cl","IMA2008-039","","5705","Italy","2008","Approved"," "," ","Demartin F, Gramaccioli C M, Campostrini I (2009) Brontesite, (NH<sub>4</sub>)<sub>3</sub>PbCl<sub>5</sub>, a new product of fumarolic activity from La Fossa crater, Vulcano, Aeolian Islands, Italy, The Canadian Mineralogist 47, 1237-1243","orthorhombic","","N^3- H Pb^2+ Cl"
"Brookite","Brookite","Brookite","Ti4+O2","TiO2","Ti^4+^O_2_","TiO_2_","Ti<sup>4+</sup>O<sub>2</sub>","TiO<sub>2</sub>","Ti O","","R050363 R050591 R130225","1233","United Kingdom","1825","Grandfathered|Approved","Brookite"," ","Levy M (1825) An account of a new mineral, The Annals of Philosophy 9, 140-142","orthorhombic","3074","Ti^4+ O"
"Brownmillerite","Brownmillerite","Brownmillerite","Ca2Fe3+AlO5","Ca2Fe3+AlO5","Ca_2_Fe^3+^AlO_5_","Ca_2_Fe^3+^AlO_5_","Ca<sub>2</sub>Fe<sup>3+</sup>AlO<sub>5</sub>","Ca<sub>2</sub>Fe<sup>3+</sup>AlO<sub>5</sub>","Ca Fe Al O","IMA1963-017","R130105","1234","Germany","1963","Approved","Brownmillerite"," ","Name was previously used by the cement industry for the synthetic compound:
Hentschel G (1964) Mayenit, 12CaO·7Al<sub>2</sub>O<sub>3</sub>, und brownmillerit, 2CaO·(Al,Fe)<sub>2</sub>O<sub>3</sub>, zwei neue minerale in den kalksteinschlüssen der lava des Ettringer Bellerberges, Neues Jahrbuch für Mineralogie, Monatshefte 1964, 22-29

Chemical formula revised:
Redhammer G J, Tippelt G, Roth G, Amthauer G (2004) Structural variations in the brownmillerite series Ca_2_(Fe_2-x_Al_x_)O_5_: Single-crystal X-ray diffraction at 25°C and high-temperature X-ray powder diffraction (25°C< T <1000°C), American Mineralogist 89, 405-420","orthorhombic","354","Ca Fe^3+ Al O"
"Brucite","Brucite","Brucite","Mg(OH)2","Mg(OH)2","Mg(OH)_2_","Mg(OH)_2_","Mg(OH)<sub>2</sub>","Mg(OH)<sub>2</sub>","Mg O H","","R040077 R050455","1235","USA","1818","Grandfathered|Approved","Brucite","brucite","Silliman B (1818) Scientific Intelligence. Brucite, The American Journal of Science 1, 439-439","hexagonal","2742","Mg O H"
"Buchwaldite","Buchwaldite","Buchwaldite","NaCaPO4","NaCa(PO4)","NaCaPO_4_","NaCa(PO_4_)","NaCaPO<sub>4</sub>","NaCa(PO<sub>4</sub>)","Na Ca P O","IMA1975-041","","1240","Denmark (Greenland)","1975","Approved"," ","triphylite","Olsen E, Erlichman J, Bunch T E, Moore P B (1977) Buchwaldite, a new meteoritic phosphate mineral, American Mineralogist 62, 362-364","orthorhombic","","Na Ca P O"
"Buddingtonite","Buddingtonite","Buddingtonite","(N3-H4)AlSi3O8","(NH4)(AlSi3)O8","(N^3-^H_4_)AlSi_3_O_8_","(NH_4_)(AlSi_3_)O_8_","(N<sup>3-</sup>H<sub>4</sub>)AlSi<sub>3</sub>O<sub>8</sub>","(NH<sub>4</sub>)(AlSi<sub>3</sub>)O<sub>8</sub>","N H Al Si O","IMA1963-001","R061115","1242","USA","1963","Approved","Feldspar","feldspar","Erd R C, White D E, Fahey J J, Lee D E (1964) Buddingtonite, an ammonium feldspar with zeolitic water, American Mineralogist 49, 831-851 

Chemical formula revised:
Voncken J H L, Van Roermund H L M, Van Der Eerden A M J, Jansen J B H, Erd R C (1993) Holotype buddingtonite: An ammonium feldspar without zeolitic H<sub>2</sub>O, American Mineralogist 78, 204-209","monoclinic","1761.3","N^3- H Al Si O"
"Bukovite","Bukovite","Bukovite","Tl1+2Cu1+2Cu2+2Se2-4","Cu4Tl2Se4","Tl^1+^_2_Cu^1+^_2_Cu^2+^_2_Se^2-^_4_","Cu_4_Tl_2_Se_4_","Tl<sup>1+</sup><sub>2</sub>Cu<sup>1+</sup><sub>2</sub>Cu<sup>2+</sup><sub>2</sub>Se<sup>2-</sup><sub>4</sub>","Cu<sub>4</sub>Tl<sub>2</sub>Se<sub>4</sub>","Cu Tl Se","IMA1970-029","","1244","Czech Republic","1970","Approved","Bukovite","bukovite","Johan Z, Kvaček M (1971) La bukovite, Cu<sub>3+x</sub>Tl<sub>2</sub>FeSe<sub>4-x</sub>, une nouvelle espèce minérale, Bulletin de la Société Française de Minéralogie et de Cristallographie 94, 529-533","tetragonal","443","Tl^1+ Cu^1+ Cu^2+ Se^2-"
"Bultfonteinite","Bultfonteinite","Bultfonteinite","Ca2[SiO3(OH)]F·H2O","Ca2SiO3(OH)F·H2O","Ca_2_[SiO_3_(OH)]F·H_2_O","Ca_2_SiO_3_(OH)F·H_2_O","Ca<sub>2</sub>[SiO<sub>3</sub>(OH)]F·H<sub>2</sub>O","Ca<sub>2</sub>SiO<sub>3</sub>(OH)F·H<sub>2</sub>O","Ca Si O H F","","R050088","1247","South Africa","1932","Grandfathered|Approved","Spurrite-Afwillite"," ","Parry J, Williams A F, Wright F E (1932) On bultfonteinite, a new fluorine-bearing hydrous calcium silicate from South Africa, Mineralogical Magazine 23, 145-162

Chemical formula revised from Ca<sub>2</sub>SiO<sub>2</sub>(OH,F)<sub>4</sub>:
Megaw H D, Kelsey C H (1955) An accurate determination of the cell dimensions of bultfonteinite, Ca<sub>4</sub>Si<sub>2</sub>O<sub>10</sub>H<sub>6</sub>F<sub>2</sub>, Mineralogical Magazine 30, 569-573","triclinic","2400","Ca Si O H F"
"Bunsenite","Bunsenite","Bunsenite","Ni2+O","NiO","Ni^2+^O","NiO","Ni<sup>2+</sup>O","NiO","Ni O","","R080121","1248","Germany","1868","Grandfathered|Approved","Rocksalt","periclase","Dana J D, Brush G J (1868) Bunsenite, in A System of Mineralogy, Fifth Edition, John Wiley and Sons (New York) 134-135","cubic","3640","Ni^2+ O"
"Burbankite","Burbankite","Burbankite","(Na,Ca)3(Sr,Ba,Ce)3(CO3)5","(Na,Ca)3(Sr,Ba,Ce)3(CO3)5","(Na,Ca)_3_(Sr,Ba,Ce)_3_(CO_3_)_5_","(Na,Ca)_3_(Sr,Ba,Ce)_3_(CO_3_)_5_","(Na,Ca)<sub>3</sub>(Sr,Ba,Ce)<sub>3</sub>(CO<sub>3</sub>)<sub>5</sub>","(Na,Ca)<sub>3</sub>(Sr,Ba,Ce)<sub>3</sub>(CO<sub>3</sub>)<sub>5</sub>","Na Ca Sr Ba Ce C O","","R050646 R110199 R120073","1250","USA","1953","Grandfathered|Approved","Burbankite","burbankite","Pecora W T, Kerr J H (1953) Burbankite and calkinsite, two new carbonate minerals from Montana, American Mineralogist 38, 1169-1183","hexagonal","1344","Na Ca Sr Ba Ce C O"
"Burnsite","Burnsite","Burnsite","KCd2+Cu2+7O2(Se4+O3)2Cl9","KCdCu7O2(SeO3)2Cl9","KCd^2+^Cu^2+^_7_O_2_(Se^4+^O_3_)_2_Cl_9_","KCdCu_7_O_2_(SeO_3_)_2_Cl_9_","KCd<sup>2+</sup>Cu<sup>2+</sup><sub>7</sub>O<sub>2</sub>(Se<sup>4+</sup>O<sub>3</sub>)<sub>2</sub>Cl<sub>9</sub>","KCdCu<sub>7</sub>O<sub>2</sub>(SeO<sub>3</sub>)<sub>2</sub>Cl<sub>9</sub>","K Cd Cu O Se Cl","IMA2000-050","","1253","Russia","2000","Approved"," "," ","Krivovichev S V, Vergasova L P, Starova G L, Filatov S K, Britvin S N, Roberts A C, Steele I M (2002) Burnsite, KCdCu<sub>7</sub>O<sub>2</sub>(SeO<sub>3</sub>)<sub>2</sub>Cl<sub>9</sub>, a new mineral species from the Tolbachik Volcano, Kamchatka Peninsula, Russia, The Canadian Mineralogist 40, 1171-1175","hexagonal","3.6E-5","K Cd^2+ Cu^2+ O Se^4+ Cl"
"Burpalite","Burpalite","Burpalite","Na2CaZr4+(Si2O7)F2","Na4Ca2Zr2(Si2O7)2F4","Na_2_CaZr^4+^(Si_2_O_7_)F_2_","Na_4_Ca_2_Zr_2_(Si_2_O_7_)_2_F_4_","Na<sub>2</sub>CaZr<sup>4+</sup>(Si<sub>2</sub>O<sub>7</sub>)F<sub>2</sub>","Na<sub>4</sub>Ca<sub>2</sub>Zr<sub>2</sub>(Si<sub>2</sub>O<sub>7</sub>)<sub>2</sub>F<sub>4</sub>","Na Ca Zr Si O F","IMA1988-036","","1254","Russia","1988","Approved","Wöhlerite ","Wöhlerite","Merlino S, Perchiazzi N, Khomyakov A P, Pushcharovsky D Y, Kulikova I M, Kuzmin V I (1990) Burpalite, a new mineral from Burpalinskii massif, North Transbajkal, USSR: its crystal structure and OD character, European Journal of Mineralogy 2, 177-185","monoclinic","1160","Na Ca Zr^4+ Si O F"
"Bustamite","Bustamite","Bustamite","CaMn2+Si2O6","CaMn2+Si2O6","CaMn^2+^Si_2_O_6_","CaMn^2+^Si_2_O_6_","CaMn<sup>2+</sup>Si<sub>2</sub>O<sub>6</sub>","CaMn<sup>2+</sup>Si<sub>2</sub>O<sub>6</sub>","Ca Mn Si O","","R040014","1260","USA","1826","Grandfathered|Approved","Wollastonite","wollastonite","Brongniart A (1826) Sur la bustamite, bisilicate de manganèse et de chaux du Mexique, Anneles des Sciences Naturelles 8, 411-418.

Original material shown to be a mixture; name applied to current mineral:
Larsen E S, Shannon E V (1922) Bustamite from Franklin Furnace, New Jersey. American Mineralogist 7, 95-100.","triclinic","2860","Ca Mn^2+ Si O"
"Byelorussite-(Ce)","Byelorussite-(Ce)","Byelorussite-(Ce)","NaBa2Ce3+2Mn2+Ti4+2Si8O26(F,OH)·H2O","NaBa2Ce2Mn2+Ti2Si8O26(F,OH)·H2O","NaBa_2_Ce^3+^_2_Mn^2+^Ti^4+^_2_Si_8_O_26_(F,OH)·H_2_O","NaBa_2_Ce_2_Mn^2+^Ti_2_Si_8_O_26_(F,OH)·H_2_O","NaBa<sub>2</sub>Ce<sup>3+</sup><sub>2</sub>Mn<sup>2+</sup>Ti<sup>4+</sup><sub>2</sub>Si<sub>8</sub>O<sub>26</sub>(F,OH)·H<sub>2</sub>O","NaBa<sub>2</sub>Ce<sub>2</sub>Mn<sup>2+</sup>Ti<sub>2</sub>Si<sub>8</sub>O<sub>26</sub>(F,OH)·H<sub>2</sub>O","Na Ba Ce Mn Ti Si O F H","IMA1988-042","","1264","Belarus","1988","Approved","Joaquinite","joaquinite","Shpanov E P, Netschelyustov G N, Baturin S V, Solntseva L S (1989) Byelorussite-(Ce) - NaMnBa<sub>2</sub>Ti<sub>2</sub>Si<sub>8</sub>O<sub>26</sub>(F,OH)·H<sub>2</sub>O - a new mineral of the joaquinite group, Zapiski Vsesoyuznogo Mineralogicheskogo Obshchestva 118(5), 100-107","orthorhombic","","Na Ba Ce^3+ Mn^2+ Ti^4+ Si O F H"
"Bystrite","Bystrite","Bystrite","(Na,K)7Ca(Si6Al6)O24(S3)2-1.5·H2O","(Na,K)7Ca(Si6Al6)O24(S2-)1.5·H2O","(Na,K)_7_Ca(Si_6_Al_6_)O_24_(S_3_)^2-^_1.5_·H_2_O","(Na,K)_7_Ca(Si_6_Al_6_)O_24_(S^2-^)_1.5_·H_2_O","(Na,K)<sub>7</sub>Ca(Si<sub>6</sub>Al<sub>6</sub>)O<sub>24</sub>(S<sub>3</sub>)<sup>2-</sup><sub>1.5</sub>·H<sub>2</sub>O","(Na,K)<sub>7</sub>Ca(Si<sub>6</sub>Al<sub>6</sub>)O<sub>24</sub>(S<sup>2-</sup>)<sub>1.5</sub>·H<sub>2</sub>O","Na K Ca Si Al O S H","IMA1990-008","R060642","1265","Russia","1990","Approved","Cancrinite-sodalite","cancrinite-sodalite","Sapozhnikov A N, Ivanov V G, Piskunova L F, Kashaev A A, Terentieva L E, Pobedimskaya E A (1991) Bystrite Ca(Na,K)<sub>7</sub>(Si<sub>6</sub>Al<sub>6</sub>O<sub>24</sub>)(S<sub>3</sub>)<sub>1.5</sub>·H<sub>2</sub>O - a new cancrinite-like mineral, Zapiski Vsesoyuznogo Mineralogicheskogo Obshchestva 120(3), 97-100","hexagonal","481","Na K Ca Si Al O S H"
"Cabriite","Cabriite","Cabriite","Pd2CuSn","Pd2CuSn","Pd_2_CuSn","Pd_2_CuSn","Pd<sub>2</sub>CuSn","Pd<sub>2</sub>CuSn","Pd Cu Sn","IMA1981-057","","1268","Russia","1981","Approved"," "," ","Evstigneeva T L, Genkin A D (1983) Cabriite Pd<sub>2</sub>SnCu, a new species in the mineral group of palladium, tin and copper compounds, The Canadian Mineralogist 21, 481-487","orthorhombic","2060","Pd Cu Sn"
"Cadmium","Cadmium","Cadmium","Cd","Cd","Cd","Cd","Cd","Cd","Cd","IMA1980-086","","1270","Russia","1818","Approved"," ","zinc","The element is discovered and named:
Stromeyer F (1818) Untersuchungen über das Kadmium, Journal für Chemie und Physik 22, 362-377

Novgorodova M I, Zhivtsov D A, Gorshkov A I, Trubkin N V, Tsepin A I (1982) Native cadmium from southern Verkhoyan'ya. Zapiski Vserossijskogo Mineralogicheskogo Obshchestva 111, 304-315","hexagonal","173.8","Cd"
"Cadwaladerite","Cadwaladerite","Cadwaladerite","Al2(H2O)(OH)4·<i>n</i>(Cl,OH-,H2O)","Al2(H2O)(OH)4·<i>n</i>(Cl,OH-,H2O)","Al_2_(H_2_O)(OH)_4_·<i>n</i>(Cl,OH^-^,H_2_O)","Al_2_(H_2_O)(OH)_4_·<i>n</i>(Cl,OH^-^,H_2_O)","Al<sub>2</sub>(H<sub>2</sub>O)(OH)<sub>4</sub>·<i>n</i>(Cl,OH<sup>-</sup>,H<sub>2</sub>O)","Al<sub>2</sub>(H<sub>2</sub>O)(OH)<sub>4</sub>·<i>n</i>(Cl,OH<sup>-</sup>,H<sub>2</sub>O)","Al H O Cl","","","1272","Chile","1941","Approved"," "," ","Gordon S C (1941) Results of the Chilean Mineralogical Expedition of 1938. Part V. - Cadwaladerite, a new aluminium mineral from Cerro Pintados, Chile, Notulae Naturae of The Academy of Natural Sciences of Philadelphia 80, 1-4

Chemical formula revised from AlCl(OH)_2_·4H_2_O:
Peterson R C, Metcalf M, Kampf A R, Contreira Filho R R, Reid J, Joy B (2019) Cadwaladerite, Al_2_(H_2_O)(OH)_4_·<i>n</i>(Cl,OH^-^,H_2_O), from Cerros Pintados, Chile, defined as a valid mineral species and the discreditation of lesukite. The Canadian Mineralogist 57, 827-841","","","Al H O Cl"
"Cafetite","Cafetite","Cafetite","CaTi4+2O5·H2O","CaTi2O5·H2O","CaTi^4+^_2_O_5_·H_2_O","CaTi_2_O_5_·H_2_O","CaTi<sup>4+</sup><sub>2</sub>O<sub>5</sub>·H<sub>2</sub>O","CaTi<sub>2</sub>O<sub>5</sub>·H<sub>2</sub>O","Ca Ti O H","","R060872","1274","Russia","1959","Approved"," "," ","Kukharenko A A, Kondrat´Eva V V, Kovyazina V M (1959) Cafetite, a new hydrous titanate of calcium and iron, Zapiski Vserossijskogo Mineralogicheskogo Obshchestva 88, 444-453

Chemical formula revised:
Krivovichev S V, Yakovenchuk V N, Burns P C, Pakhomovsky Y A, Menshikov Y P (2003) Cafetite, Ca[Ti<sub>2</sub>O<sub>5</sub>](H<sub>2</sub>O): Crystal structure and revision of chemical formula, American Mineralogist 88, 424-429","monoclinic|orthorhombic","500","Ca Ti^4+ O H"
"Cahnite","Cahnite","Cahnite","Ca2B(As5+O4)(OH)4","Ca2B(AsO4)(OH)4","Ca_2_B(As^5+^O_4_)(OH)_4_","Ca_2_B(AsO_4_)(OH)_4_","Ca<sub>2</sub>B(As<sup>5+</sup>O<sub>4</sub>)(OH)<sub>4</sub>","Ca<sub>2</sub>B(AsO<sub>4</sub>)(OH)<sub>4</sub>","Ca B As O H","","R070182 R110095","1275","USA","1927","Grandfathered|Approved","Zircon"," ","Palache C, Bauer L H (1927) Cahnite, A new boro-arsenate of calcium from Franklin, New Jersey, American Mineralogist 12, 149-153","tetragonal","1349","Ca B As^5+ O H"
"Calaverite","Calaverite","Calaverite","AuTe2","AuTe2","AuTe_2_","AuTe_2_","AuTe<sub>2</sub>","AuTe<sub>2</sub>","Au Te","","R060134 R070164 R070397","1276","USA","1868","Grandfathered|Approved","Calaverite"," ","Genth F A (1868) Contributions to mineralogy - No. VII. Calaverite, a new mineral, AuTe<sub>4</sub>, The American Journal of Science and Arts 95, 305-321

Chemical formula revised:
Genth F A (1878) On some tellurium and vanadium minerals, Proceedings of the American Philosophical Society 17, 113-123","monoclinic","4000","Au Te"
"Calciborite","Calciborite","Calciborite","CaB2O4","CaB2O4","CaB_2_O_4_","CaB_2_O_4_","CaB<sub>2</sub>O<sub>4</sub>","CaB<sub>2</sub>O<sub>4</sub>","Ca B O","","","1277","Russia","1956","Grandfathered|Approved"," "," ","Petrova E S (1956) Calciborite - Ca<sub>5</sub>B<sub>8</sub>O<sub>17</sub>, Zapiski Vsesoyuznogo Mineralogicheskogo Obshchestva 85, 76-76

Chemical formula revised:
Shashkin D N, Simonov M A, Belov N V (1970) Crystal structure of calciborite CaB<sub>2</sub>O<sub>4</sub> = Ca<sub>2</sub>[BO<sub>3</sub>BO]<sub>2</sub>, Doklady Akademii Nauk SSSR 195, 345-348","orthorhombic","252","Ca B O"
