Mineral Name,Mineral Name (plain),Mineral Name (HTML),RRUFF Chemistry (plain),IMA Chemistry (plain),RRUFF Chemistry (concise),IMA Chemistry (concise),RRUFF Chemistry (HTML),IMA Chemistry (HTML),Chemistry Elements,IMA Number,RRUFF IDs,Database ID,Country of Type Locality,Year First Published,IMA Status,Structural Groupname,Fleischers Groupname,Status Notes,Crystal Systems,Oldest Known Age (Ma),Valence Elements
Butianite,Butianite,Butianite,Ni6SnS2,Ni6SnS2,Ni_6_SnS_2_,Ni_6_SnS_2_,Ni<sub>6</sub>SnS<sub>2</sub>,Ni<sub>6</sub>SnS<sub>2</sub>,Ni Sn S,IMA2016-028,,6556,Mexico (meteorite),2016,Approved,Nuwaite, ,"Ma C, Beckett J R (2018) Nuwaite (Ni_6_GeS_2_) and butianite (Ni_6_SnS_2_), two new minerals from the Allende meteorite: Alteration products in the early solar system. American Mineralogist 103, 1918-1924",tetragonal,4567.61,Ni Sn S
Calaverite,Calaverite,Calaverite,AuTe2,AuTe2,AuTe_2_,AuTe_2_,AuTe<sub>2</sub>,AuTe<sub>2</sub>,Au Te,,R060134 R070164 R070397,1276,USA,1868,Grandfathered|Approved,Calaverite, ,"Genth F A (1868) Contributions to mineralogy - No. VII. Calaverite, a new mineral, AuTe<sub>4</sub>, The American Journal of Science and Arts 95, 305-321

Chemical formula revised:
Genth F A (1878) On some tellurium and vanadium minerals, Proceedings of the American Philosophical Society 17, 113-123",monoclinic,4000.0,Au Te
Calcite,Calcite,Calcite,CaCO3,Ca(CO3),CaCO_3_,Ca(CO_3_),CaCO<sub>3</sub>,Ca(CO<sub>3</sub>),Ca C O,,R040070 R040170 R050048 R050009 R050127 R050128 R050130 R050307 R150020 R150075,1289,unknown,0,Grandfathered|Approved,Calcite,calcite,"Mineral known since antiquity under a number of names, but it appears to have first been called calcite in this publication:
Freiesleben J C (1836) Calcit, Magazin für die Oryktographie von Sachsen 7, 118-121",hexagonal,4700.0,Ca C O
Carlsbergite,Carlsbergite,Carlsbergite,Cr3+N3-,CrN,Cr^3+^N^3-^,CrN,Cr<sup>3+</sup>N<sup>3-</sup>,CrN,Cr N,IMA1971-026,,1334,Denmark (Greenland),1971,Approved,Rocksalt, ,"Buchwald V F, Scott E R D (1971) First nitride (CrN) in iron meteorites, Nature Physical Science 233, 113-114",cubic,4620.0,Cr^3+ N^3-
Cassiterite,Cassiterite,Cassiterite,SnO2,SnO2,SnO_2_,SnO_2_,SnO<sub>2</sub>,SnO<sub>2</sub>,Sn O,,R040017 R040072 R050502 R060563,1349,United Kingdom,1832,Grandfathered|Approved,Rutile,rutile,"Beudant F S (1832) Cassitérite, étain oxidé, in Traité Élémentaire de Minéralogie, 2nd Edition, (Paris) 618-620",tetragonal,4000.0,Sn O
Cerussite,Cerussite,Cerussite,Pb2+CO3,Pb(CO3),Pb^2+^CO_3_,Pb(CO_3_),Pb<sup>2+</sup>CO<sub>3</sub>,Pb(CO<sub>3</sub>),Pb C O,,R040069 R050011 R050023 R050174 R050298 R060017,1372,Italy,1845,Grandfathered|Approved,Aragonite,aragonite,"The synthetic lead carbonate was known previously as ceruse, and the mineral was known previously under various chemical names, but the mineral was named cerussite in this publication:
Haidinger W (1845) Cerussit, in Handbuch der Bestimmenden Mineralogie, Bei Braumüller and Seidel (Wien) 503-503",orthorhombic,4000.0,Pb^2+ C O
Chalcanthite,Chalcanthite,Chalcanthite,Cu2+S6+O4·5H2O,Cu(SO4)·5H2O,Cu^2+^S^6+^O_4_·5H_2_O,Cu(SO_4_)·5H_2_O,Cu<sup>2+</sup>S<sup>6+</sup>O<sub>4</sub>·5H<sub>2</sub>O,Cu(SO<sub>4</sub>)·5H<sub>2</sub>O,Cu S O H,,R050293 R050354 R060018 R060102,1391,unknown,0,Grandfathered|Approved,Chalcanthite,chalcanthite,"Mineral name has been known since antiquity and predates any formal descriptive publication. For example:
Dioscorides P, [Translated by Cornarius J, 1557] (70) Chalcantum, in De materia medica Libri V., Froben (Basileae) 451-453",triclinic,4000.0,Cu^2+ S^6+ O H
Chalcocite,Chalcocite,Chalcocite,Cu1+2S2-,Cu2S,Cu^1+^_2_S^2-^,Cu_2_S,Cu<sup>1+</sup><sub>2</sub>S<sup>2-</sup>,Cu<sub>2</sub>S,Cu S,,R050067 R070730 R120090 R120113,1393,?,0,Grandfathered|Approved, , ,"Mineral name, or its predecessor chalcitis, has been known since antiquity and predates any formal descriptive publication. Eg.
Hill J (1751) Of vitriolic minerals, in A History of the Materia Medica, Longman, Hitch and Hawes (London) 140-147",monoclinic|cubic,4000.0,Cu^1+ S^2-
Chalcopyrite,Chalcopyrite,Chalcopyrite,Cu1+Fe3+S2-2,CuFeS2,Cu^1+^Fe^3+^S^2-^_2_,CuFeS_2_,Cu<sup>1+</sup>Fe<sup>3+</sup>S<sup>2-</sup><sub>2</sub>,CuFeS<sub>2</sub>,Cu Fe S,,R050018 R050208 R050222 R050559,1399,?,1725,Grandfathered|Approved,Chalcopyrite,chalcopyrite,"Henckel J F (1725) Chalcopyrites. in Pyritologia, oder Kieβ Historie, Verlegts Johann Christian Martini (Leipzig) 114-115

Oxidation states determined in:
Pearce C I, Pattrick R A D, Vaughan D J, Henderson C M B, van der Laan G (2006) Copper oxidation state in chalcopyrite: Mixed Cu d<sup>9</sup> and d<sup>10</sup> characteristics, Geochimica et Cosmochimica Acta 70, 4635-4624",tetragonal|cubic,4000.0,Cu^1+ Fe^3+ S^2-
Chaoite,Chaoite,Chaoite,C,C,C,C,C,C,C,IMA1968-019,,1410,Germany,1968,Approved, , ,"El Goresy A, Donnay G (1968) A new allotropic form of carbon from the Ries Crater. Science 161, 363-364",hexagonal,4563.0,C
Chihuahuaite,Chihuahuaite,Chihuahuaite,Fe2+Al12O19,FeAl12O19,Fe^2+^Al_12_O_19_,FeAl_12_O_19_,Fe<sup>2+</sup>Al<sub>12</sub>O<sub>19</sub>,FeAl<sub>12</sub>O<sub>19</sub>,Fe Al O,"IMA2009-027, IMA2020 s.p.",,5754,Mexico (meteorite),2009,Approved|Renamed,Plumboferrite, ,"Ma C (2010) Hibonite-(Fe), (Fe,Mg)Al_12_O_19_, a new alteration mineral from the Allende meteorite, American Mineralogist 95, 188-191

Chemical formula changed from (Fe,Mg)Al_12_O_19_:
Miyawaki R, Hatert F, Pasero M, Mills S J (2019) IMA Commission on New Minerals, Nomenclature and Classification (CNMNC) Newsletter 50. New minerals and nomenclature modifications approved in 2019. Mineralogical Magazine 83, 615-620

Name changed from Hibonite-(Fe):
Miyawaki R, Hatert F, Pasero M, Mills S J (2020) IMA Commission on New Minerals, Nomenclature and Classification (CNMNC) Newsletter 54. Mineralogical Magazine 84, 359-365",hexagonal,4567.61,Fe^2+ Al O
Chlorapatite,Chlorapatite,Chlorapatite,Ca5(PO4)3Cl,Ca5(PO4)3Cl,Ca_5_(PO_4_)_3_Cl,Ca_5_(PO_4_)_3_Cl,Ca<sub>5</sub>(PO<sub>4</sub>)<sub>3</sub>Cl,Ca<sub>5</sub>(PO<sub>4</sub>)<sub>3</sub>Cl,Ca P O Cl,IMA2010 s.p.,R060192,1440,Austria / Germany / Spain / Switzerland,1860,Approved|Renamed,Apatite,apatite,"Rose G (1827) Ueber die chemische Zusammensetzung der Apatite. Annalen der Physik und Chemie 85, 185-214 

Name changed from chlorapatite to apatite-(CaCl):
Burke E A J (2008) Tidying up mineral names: an IMA-CNMNC scheme for suffixes, hyphens and diacritical marks, The Mineralogical Record 39, 131-135

Name changed from apatite-(CaCl) back to chlorapatite. The monoclinic variant is defined as chlorapatite-M and is not a distinct species:
Pasero M, Kampf A R, Ferraris C, Pekov I V, Rakovan J R, White T J (2010) Nomenclature of the apatite supergroup minerals, European Journal of Mineralogy 22, 163-179",hexagonal|monoclinic,4330.0,Ca P O Cl
Chlorargyrite,Chlorargyrite,Chlorargyrite,AgCl,AgCl,AgCl,AgCl,AgCl,AgCl,Ag Cl,,R050360,1441,Germany,1565,Approved, ,halite,"Weisbach A (1875) Chlorargyrit, in Synopsis Mineralogica. Systematische Uebersicht des Mineralreiches, J. G. Englehardt’sche (Freiberg) 37-38",cubic,4000.0,Ag Cl
Chloritoid,Chloritoid,Chloritoid,Fe2+Al2OSiO4(OH)2,Fe2+Al2O(SiO4)(OH)2,Fe^2+^Al_2_OSiO_4_(OH)_2_,Fe^2+^Al_2_O(SiO_4_)(OH)_2_,Fe<sup>2+</sup>Al<sub>2</sub>OSiO<sub>4</sub>(OH)<sub>2</sub>,Fe<sup>2+</sup>Al<sub>2</sub>O(SiO<sub>4</sub>)(OH)<sub>2</sub>,Fe Al O Si H,,R050334 R060292,1445,Russia,1832,Grandfathered|Approved, ,ottrelite,"Originally named chloritspath:
Fiedler K G (1832) Lagerstätten des diaspor, chloritspath, pyrophyllit und monazit, aufgefund in Ural, Annalen der Physik und Chemie 25, 322-333

Name changed to chloritoid:
Breithaupt A (1835) Neue specifische gewichte von mineralien, Journal für Praktische Chemie 4, 272-278",triclinic|monoclinic,4000.0,Fe^2+ Al O Si H
Chromite,Chromite,Chromite,Fe2+Cr3+2O4,Fe2+Cr2O4,Fe^2+^Cr^3+^_2_O_4_,Fe^2+^Cr_2_O_4_,Fe<sup>2+</sup>Cr<sup>3+</sup><sub>2</sub>O<sub>4</sub>,Fe<sup>2+</sup>Cr<sub>2</sub>O<sub>4</sub>,Fe Cr O,,R110059 R110060,1463,France,1845,Grandfathered|Approved,Spinel,spinel,"The mineral, while previously known, was named in this publication:
Haidinger W (1845) Chromit, in Handbuch der Bestimmenden Mineralogie, Bei Braumüller and Seidel (Wien) 550-550",cubic,4700.0,Fe^2+ Cr^3+ O
Chrysocolla,Chrysocolla,Chrysocolla,(Cu2+2-xAlx)H2-xSi2O5(OH)4·nH2O,(Cu2-xAlx)H2-xSi2O5(OH)4·nH2O,(Cu^2+^_2-x_Al_x_)H_2-x_Si_2_O_5_(OH)_4_·nH_2_O,(Cu_2-x_Al_x_)H_2-x_Si_2_O_5_(OH)_4_·nH_2_O,(Cu<sup>2+</sup><sub>2-x</sub>Al<sub>x</sub>)H<sub>2-x</sub>Si<sub>2</sub>O<sub>5</sub>(OH)<sub>4</sub>·nH<sub>2</sub>O,(Cu<sub>2-x</sub>Al<sub>x</sub>)H<sub>2-x</sub>Si<sub>2</sub>O<sub>5</sub>(OH)<sub>4</sub>·nH<sub>2</sub>O,Cu Al H Si O,,R050053 R060547,1467,unknown,0,Approved,Allophane, ,"Theophrastus (315 BC) Chrysokolla, in Theophrastus On Stones translated by Caley E R and Richards J F C 1956, Ohio State University (Columbus, Ohio) 25-27",amorphous,4000.0,Cu^2+ Al H Si O
Chrysotile,Chrysotile,Chrysotile,Mg3Si2O5(OH)4,Mg3Si2O5(OH)4,Mg_3_Si_2_O_5_(OH)_4_,Mg_3_Si_2_O_5_(OH)_4_,Mg<sub>3</sub>Si<sub>2</sub>O<sub>5</sub>(OH)<sub>4</sub>,Mg<sub>3</sub>Si<sub>2</sub>O<sub>5</sub>(OH)<sub>4</sub>,Mg Si O H,,R070088 R070355,1468,Poland,1834,Approved|Redefined,Clay,kaolinite-serpentine-kaolinite subgroup,"Mineral described but not named:
von Kobell F (1834) Ueber den schillernden Asbest von Reichenstein in Schlesien, Journal für Praktische Chemie 2, 297-298

Mineral named:
von Kobell F (1843) Ueber den Spadait, eine neue Mineral-species, und über den Wollastonit von Capo di bove, Gelehrte Anzeigen 17, 945-950",monoclinic|unknown,4000.0,Mg Si O H
Cinnabar,Cinnabar,Cinnabar,HgS,HgS,HgS,HgS,HgS,HgS,Hg S,,R050072 R070532,1478,unknown,0,Grandfathered|Approved, , ,"Theophrastus (315 BC) Cinnabar, in On Stones translated by Caley E R and Richards J F C 1956, Ohio State University (Columbus, Ohio)",hexagonal,4000.0,Hg S
Clinoenstatite,Clinoenstatite,Clinoenstatite,MgSiO3,Mg2Si2O6,MgSiO_3_,Mg_2_Si_2_O_6_,MgSiO<sub>3</sub>,Mg<sub>2</sub>Si<sub>2</sub>O<sub>6</sub>,Mg Si O,,R070276,1498,Romania (meteorite),1906,Approved,Pyroxene,pyroxene,"Originally named klinoenstatit:
Wahl W (1906) Zur nomenklatur, in Die Enstatitaugite, (PhD dissertation), 151 pages, University of Helsinki (Finland) 137-141",monoclinic,4700.0,Mg Si O
Clintonite,Clintonite,Clintonite,CaAlMg2(SiAl3)O10(OH)2,CaAlMg2(SiAl3O10)(OH)2,CaAlMg_2_(SiAl_3_)O_10_(OH)_2_,CaAlMg_2_(SiAl_3_O_10_)(OH)_2_,CaAlMg<sub>2</sub>(SiAl<sub>3</sub>)O<sub>10</sub>(OH)<sub>2</sub>,CaAlMg<sub>2</sub>(SiAl<sub>3</sub>O<sub>10</sub>)(OH)<sub>2</sub>,Ca Al Mg Si O H,,R070196 R070197 R070229,1514,USA,1843,Approved,Clay,mica-brittle micas,"Mather W W (1843) Metamorphic rocks of the highlands, and of Saratoga and Washington counties, in Geology of New York Part 1. Comprising the Geology of the First Geological District, Carroll and Cook (Albany) 467-467",monoclinic,4567.61,Ca Al Mg Si O H
Cobaltite,Cobaltite,Cobaltite,Co3+(AsS)3-,CoAsS,Co^3+^(AsS)^3-^,CoAsS,Co<sup>3+</sup>(AsS)<sup>3-</sup>,CoAsS,Co As S,,R060907 R070372 R100119,1519,unknown,1832,Grandfathered|Approved,Cobaltite,cobaltite,"The mineral was known before this publication, but under other names:
Beudant F S (1832) Cobaltine, in Traité Élémentaire de Minéralogie, 2nd Edition, (Paris) 450-451",orthorhombic|cubic,4000.0,Co^3+ As S
Cohenite,Cohenite,Cohenite,Fe3C,CFe3,Fe_3_C,CFe_3_,Fe<sub>3</sub>C,CFe<sub>3</sub>,C Fe,,R100076,1532,Slovakia,1889,Grandfathered|Approved,Perovskite, ,"Weinschenk E (1889) Ueber einige bestandtheile de meteoreisens von Magura, Arva, Ungarn, Annalen des Kaiserlich-Königlichen Naturhistorischen Hofmuseums 4, 93-101",orthorhombic,4620.0,Fe C
Copper,Copper,Copper,Cu,Cu,Cu,Cu,Cu,Cu,Cu,,R061078 R070329,1550,unknown,0,Grandfathered|Approved,Copper,copper,Mineral name has been known since antiquity and predates any formal descriptive publication.,cubic,4000.0,Cu
Cordierite,Cordierite,Cordierite,Mg2Al3(AlSi5)O18,Mg2Al4Si5O18,Mg_2_Al_3_(AlSi_5_)O_18_,Mg_2_Al_4_Si_5_O_18_,Mg<sub>2</sub>Al<sub>3</sub>(AlSi<sub>5</sub>)O<sub>18</sub>,Mg<sub>2</sub>Al<sub>4</sub>Si<sub>5</sub>O<sub>18</sub>,Mg Al Si O,,R040081 R040082 R040084 R100141 R100150,1554,Germany ?,1813,Grandfathered|Approved,Beryl, ,"Lucas J A H (1813) XIII. Cordierite (Iolithe), in Tableau Méthodique Espèces Minérales, Seconde Partie, D'Hautel (Paris) 219-222",orthorhombic,4000.0,Mg Al Si O
Corundum,Corundum,Corundum,Al2O3,Al2O3,Al_2_O_3_,Al_2_O_3_,Al<sub>2</sub>O<sub>3</sub>,Al<sub>2</sub>O<sub>3</sub>,Al O,,R040096 R060020 RS899436 RS570316 RS796049 RS863332 R100131 R100142 R110096 R110097 R110098 R110099 R110110 R110111 R110116 R110117 R110119 RS812608,1562,India ?,0,Grandfathered|Approved,Corundum,hematite,Mineral name has been known since antiquity and predates any formal descriptive publication.,hexagonal,4700.0,Al O
Coulsonite,Coulsonite,Coulsonite,Fe2+V3+2O4,Fe2+V3+2O4,Fe^2+^V^3+^_2_O_4_,Fe^2+^V^3+^_2_O_4_,Fe<sup>2+</sup>V<sup>3+</sup><sub>2</sub>O<sub>4</sub>,Fe<sup>2+</sup>V<sup>3+</sup><sub>2</sub>O<sub>4</sub>,Fe V O,,,1568,India,1937,Approved|Redefined,Spinel,spinel,"Dunn J A (1937) Coulsonite, Memoirs of the Geological Survey of India 69, 21-21",cubic,4568.5,Fe^2+ V^3+ O
Covellite,Covellite,Covellite,Cu1+S,CuS,Cu^1+^S,CuS,Cu<sup>1+</sup>S,CuS,Cu S,,R060129 R060143 R060306,1569,Italy,1832,Grandfathered|Approved, , ,"Beudant F S (1832) Sulfure de cuivre du Vésuve, in Traité Élémentaire de Minéralogie, 2nd Edition, (Paris) 409-410",hexagonal,4000.0,Cu^1+ S
Cristobalite,Cristobalite,Cristobalite,SiO2,SiO2,SiO_2_,SiO_2_,SiO<sub>2</sub>,SiO<sub>2</sub>,Si O,,R060648 R061064 R061107,1580,Mexico,1887,Grandfathered|Approved,Cristobalite, ,"vom Rath G (1887) Ueber cristobalit vom Cerro S. Cristóbal bei Pachuca (Mexico), Neues Jahrbuch für Mineralogie, Geologie und Palaontologie 1887, 198-199",tetragonal|orthorhombic,4620.0,Si O
Cronstedtite,Cronstedtite,Cronstedtite,"(Fe2+,Fe3+)3(Si,Fe3+)2O5(OH)4","(Fe2+,Fe3+)3(Si,Fe3+)2O5(OH)4","(Fe^2+^,Fe^3+^)_3_(Si,Fe^3+^)_2_O_5_(OH)_4_","(Fe^2+^,Fe^3+^)_3_(Si,Fe^3+^)_2_O_5_(OH)_4_","(Fe<sup>2+</sup>,Fe<sup>3+</sup>)<sub>3</sub>(Si,Fe<sup>3+</sup>)<sub>2</sub>O<sub>5</sub>(OH)<sub>4</sub>","(Fe<sup>2+</sup>,Fe<sup>3+</sup>)<sub>3</sub>(Si,Fe<sup>3+</sup>)<sub>2</sub>O<sub>5</sub>(OH)<sub>4</sub>",Fe Si O H,,R061026,1582,Czech Republic,1821,Grandfathered|Approved,Clay,kaolinite-serpentine-serpentine subgroup,"Steinmann J (1821) Chemische Untersuchung des Cronstedtit's, eines neuen Fossils von Pribram in Böhmen, Journal für Chemie und Physik 32, 69-100",hexagonal,4700.0,Fe^2+ Fe^3+ Si O H
Cubanite,Cubanite,Cubanite,Cu1+Fe2+Fe3+S2-3,CuFe2S3,Cu^1+^Fe^2+^Fe^3+^S^2-^_3_,CuFe_2_S_3_,Cu<sup>1+</sup>Fe<sup>2+</sup>Fe<sup>3+</sup>S<sup>2-</sup><sub>3</sub>,CuFe<sub>2</sub>S<sub>3</sub>,Cu Fe S,,R061068,1590,Cuba,1843,Grandfathered|Approved,Wurtzite, ,"Breithaupt A (1843) Cuban, ein neuer, dem weisskupfererz ähnlicher kies, Annalen der Physik und Chemie 59, 325-327",orthorhombic,4000.0,Cu^1+ Fe^2+ Fe^3+ S^2-
Cummingtonite,Cummingtonite,Cummingtonite,[box]Mg2Mg5Si8O22(OH)2,[box]Mg2Mg5Si8O22(OH)2,[box]Mg_2_Mg_5_Si_8_O_22_(OH)_2_,[box]Mg_2_Mg_5_Si_8_O_22_(OH)_2_,"<span style=""border: 1px solid #333; font-size:7px;"">   </span>Mg<sub>2</sub>Mg<sub>5</sub>Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>","<span style=""border: 1px solid #333; font-size:7px;"">   </span>Mg<sub>2</sub>Mg<sub>5</sub>Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>",Mg Si O H,,,1593,Norway,1824,Approved|Redefined,Amphibole,amphibole-group 1 Mg-Fe-Mn-Li,"Dewey C (1824) A sketch of the geology and mineralogy of the western part of Massachusetts, and a small part of the adjoining states, The American Journal of Science and Arts 8, 1-60

Redefined by IMA nomenclature commission:
Leake B E, Woolley A R, Arps C E S, Birch W D, Gilbert M C, Grice J D, Hawthorne F C, Kato A, Kisch H J, Krivovichev V G, Linthout K, Laird J, Mandarino J A, Maresch W V, Nickel E H, Rock N M S, Schumacher J C, Smith D C, Stephenson N C N, Ungaretti L, Whittaker E J W, Youzhi G (1997) Nomenclature of amphiboles: Report of the subcommittee on amphiboles of the International Mineralogical Association, commission on new minerals and mineral names, The Canadian Mineralogist 35, 219-246",monoclinic,4000.0,Mg Si O H
Cuprite,Cuprite,Cuprite,Cu1+2O,Cu2O,Cu^1+^_2_O,Cu_2_O,Cu<sup>1+</sup><sub>2</sub>O,Cu<sub>2</sub>O,Cu O,,R050374 R050384 R140763,1595,Germany,1845,Grandfathered|Approved, , ,"Haidinger W (1845) Zweite Klasse: Geogenide. XI. Ordnung. Erze. III. Kupfererz. Cuprit., in Handbuch der Bestimmenden Mineralogie, Bei Braumüller and Seidel (Wien) 546-555",cubic,4000.0,Cu^1+ O
Daubréelite,Daubreelite,Daubr&#233;elite,Fe2+Cr3+2S2-4,FeCr2S4,Fe^2+^Cr^3+^_2_S^2-^_4_,FeCr_2_S_4_,Fe<sup>2+</sup>Cr<sup>3+</sup><sub>2</sub>S<sup>2-</sup><sub>4</sub>,FeCr<sub>2</sub>S<sub>4</sub>,Fe Cr S,,,1635,Mexico,1876,Grandfathered|Approved,Spinel,linnaeite,"Smith J L (1876) Aragonite on the surface of a meteoric iron, and a new mineral (Daubréelite) in the concretions of the interior of the same, The American Journal of Science and Arts 112, 107-110",cubic,4620.0,Fe^2+ Cr^3+ S^2-
Davisite,Davisite,Davisite,CaSc3+AlSiO6,CaScAlSiO6,CaSc^3+^AlSiO_6_,CaScAlSiO_6_,CaSc<sup>3+</sup>AlSiO<sub>6</sub>,CaScAlSiO<sub>6</sub>,Ca Sc Al Si O,IMA2008-030,R130013,5688,Mexico (meteorite),2008,Approved,Pyroxene, ,"Ma C, Rossman G R (2009) Davisite, CaScAlSiO<sub>6</sub>, a new pyroxene from the Allende meteorite, American Mineralogist 94, 845-848",monoclinic,4568.5,Ca Sc^3+ Al Si O
Devilline,Devilline,Devilline,CaCu2+4(S6+O4)2(OH)6·3H2O,CaCu4(SO4)2(OH)6·3H2O,CaCu^2+^_4_(S^6+^O_4_)_2_(OH)_6_·3H_2_O,CaCu_4_(SO_4_)_2_(OH)_6_·3H_2_O,CaCu<sup>2+</sup><sub>4</sub>(S<sup>6+</sup>O<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>·3H<sub>2</sub>O,CaCu<sub>4</sub>(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>·3H<sub>2</sub>O,Ca Cu S O H,,R060126,1664,United Kingdom,1864,Approved,Devilline,devilline,"Pisani F (1864) Sur une nouvelle espèce minérale du Cornouailles, la devilline, Comptes Rendus Hebdomadaires des Séances de l’Académie des Sciences 59, 813-814",monoclinic,4000.0,Ca Cu^2+ S^6+ O H
Diamond,Diamond,Diamond,C,C,C,C,C,C,C,,R050204 R050205 R050206 R050207 RS809893 R150105 R150106 R150108 R150107 R150086 R150087 R150088 R150089,1668,unknown,0,Grandfathered|Approved,Diamond, ,Mineral name has been known since antiquity and predates any formal descriptive publication.,cubic|orthorhombic,4700.0,C
Digenite,Digenite,Digenite,Cu1.8S,Cu1.8S,Cu_1.8_S,Cu_1.8_S,Cu<sub>1.8</sub>S,Cu<sub>1.8</sub>S,Cu S,,R060840,1678,Germany,1844,Approved,Digenite, ,"Breithaupt A (1844) Zwei neue kupfer enthaltende mineralien aus der ordnung der glanze, Annalen der Physik und Chemie 137, 671-675",cubic|hexagonal,4000.0,Cu S
Diopside,Diopside,Diopside,CaMgSi2O6,CaMgSi2O6,CaMgSi_2_O_6_,CaMgSi_2_O_6_,CaMgSi<sub>2</sub>O<sub>6</sub>,CaMgSi<sub>2</sub>O<sub>6</sub>,Ca Mg Si O,,R040009 R040097 R050406 R050496 R050666 R060061 R060085 R060171 R060276 R060861 R070123 R090046 R110128 R120003,1681,Italy,1800,Approved,Pyroxene,pyroxene,"d’Andrada J B (1800) Der eigenschaften und kennzeichen einiger neuen fossilien aus Schweden und Norwegen nebst einigen chemischen bemerkungen ueber dieselben, Allgemeines Journal der Chemie 4, 28-39",monoclinic,4700.0,Ca Mg Si O
Dmisteinbergite,Dmisteinbergite,Dmisteinbergite,CaAl2Si2O8,Ca(Al2Si2O8),CaAl_2_Si_2_O_8_,Ca(Al_2_Si_2_O_8_),CaAl<sub>2</sub>Si<sub>2</sub>O<sub>8</sub>,Ca(Al<sub>2</sub>Si<sub>2</sub>O<sub>8</sub>),Ca Al Si O,IMA1989-010,R130085 R130087,1688,Russia,1989,Approved,Dmisteinbergite,feldspar,"Chesnokov B V, Lotova E V, Nigmatullina E N, Pavlutchenko V S, Bushmakin A F (1990) Dmisteinbergite, CaAl<sub>2</sub>Si<sub>2</sub>O<sub>8</sub>, (hexagonal), a new mineral, Zapiski Vsesoyuznogo Mineralogicheskogo Obshchestva 119(5), 43-46",hexagonal,4567.61,Ca Al Si O
Dolomite,Dolomite,Dolomite,CaMg(CO3)2,CaMg(CO3)2,CaMg(CO_3_)_2_,CaMg(CO_3_)_2_,CaMg(CO<sub>3</sub>)<sub>2</sub>,CaMg(CO<sub>3</sub>)<sub>2</sub>,Ca Mg C O,,R040030 R050129 R050241 R050272 R050357 R050370 R100118 R100168,1691,Italy,1792,Grandfathered|Approved,Dolomite,dolomite,"Saussure H B (1792) Analyse de la dolomie, Observations sur la Physique, sur l’Histoire Naturelle et sur les Arts 40, 161-173",hexagonal,4700.0,Ca Mg C O
Enstatite,Enstatite,Enstatite,MgSiO3,Mg2Si2O6,MgSiO_3_,Mg_2_Si_2_O_6_,MgSiO<sub>3</sub>,Mg<sub>2</sub>Si<sub>2</sub>O<sub>6</sub>,Mg Si O,,R040093 R040094 R050644 R060630 R060744 R070097 R070418 R070550 R070641 R100093 R120168 R120174,1763,Czech Republic,1855,Approved,Pyroxene,pyroxene,"Kenngott A (1855) Mineralogische notizen, betreffend die bekannten species: Karstenit, dolomit, millerit, turmalin, galaktit, wasser, plagionit, diopsid, zinkit, calcit und felsobanyt, sowie zwei neue: den enstatit im geschlechte der augit-spathe und den pseudophit im geschlechte der serpentin-steatite, Sitzungsberichte der Kaiserlichen Akademie der Wissenschaften 16, 152-179",orthorhombic,4700.0,Mg Si O
Epidote,Epidote,Epidote,Ca2Fe3+Al2(Si2O7)(SiO4)O(OH),Ca2(Al2Fe3+)[Si2O7][SiO4]O(OH),Ca_2_Fe^3+^Al_2_(Si_2_O_7_)(SiO_4_)O(OH),Ca_2_(Al_2_Fe^3+^)[Si_2_O_7_][SiO_4_]O(OH),Ca<sub>2</sub>Fe<sup>3+</sup>Al<sub>2</sub>(Si<sub>2</sub>O<sub>7</sub>)(SiO<sub>4</sub>)O(OH),Ca<sub>2</sub>(Al<sub>2</sub>Fe<sup>3+</sup>)[Si<sub>2</sub>O<sub>7</sub>][SiO<sub>4</sub>]O(OH),Ca Al Fe Si O H,,R040089 R040092 R050064 R050131 R050191 R050202 R050303 R070205 R100129 R100148 R110127 R110129,1767,unknown,1801,Grandfathered|Approved,Epidote,epidote,"Haüy R J (1801) Epidote, Traité de Minéralogie 3, 102-113",monoclinic,4000.0,Ca Fe^3+ Al Si O H
Eringaite,Eringaite,Eringaite,Ca3Sc3+2Si3O12,Ca3Sc2(SiO4)3,Ca_3_Sc^3+^_2_Si_3_O_12_,Ca_3_Sc_2_(SiO_4_)_3_,Ca<sub>3</sub>Sc<sup>3+</sup><sub>2</sub>Si<sub>3</sub>O<sub>12</sub>,Ca<sub>3</sub>Sc<sub>2</sub>(SiO<sub>4</sub>)<sub>3</sub>,Ca Sc Si O,IMA2009-054,,5783,Russia,2009,Approved,Garnet, ,"Galuskina I O, Galuskin E V, Lazic B, Armbruster T, Dzierzanowski P, Prusik K, Wrzalik R (2010) Eringaite, Ca_3_Sc_2_(SiO_4_)_3_, a new mineral of the garnet group, Mineralogical Magazine 74, 365-373",cubic,4567.61,Ca Sc^3+ Si O
